Date,Close,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,log_return,return_lag_1,return_lag_2,return_lag_3,return_lag_5,volatility_10d,volatility_20d,volatility_60d
2005-03-31,4.38568,"4.414,45","4.415,08","4.372,86",,"-0,64%",-0.006450212937277929,-0.0073808402493568195,-0.002932665368803123,-0.0021345777084675905,0.00019906528848003422,0.0035555559071353536,0.0038185667547445236,0.005540523645180888
2005-04-01,4.35512,"4.363,36","4.366,00","4.355,12",,"-0,70%",-0.0069925234578398715,-0.006450212937277929,-0.0073808402493568195,-0.002932665368803123,-0.000445155806288143,0.0038685034985465917,0.004047023239891671,0.005554160392869517
2005-04-04,4.35267,"4.351,12","4.358,37","4.345,34",,"-0,06%",-0.0005627145497650182,-0.0069925234578398715,-0.006450212937277929,-0.0073808402493568195,-0.0021345777084675905,0.0033951759713405304,0.003970124560692554,0.005553344460830538
2005-04-05,4.35755,"4.356,35","4.369,65","4.356,35",,"0,11%",0.0011205229054143343,-0.0005627145497650182,-0.0069925234578398715,-0.006450212937277929,-0.002932665368803123,0.003173574656492149,0.003974034854940101,0.005556706395816582
2005-04-06,4.36487,"4.352,73","4.367,37","4.352,73",,"0,17%",0.0016784336728693863,0.0011205229054143343,-0.0005627145497650182,-0.0069925234578398715,-0.0073808402493568195,0.00342600086946069,0.0039021503889503143,0.005554620603900234
2005-04-07,4.37247,"4.361,54","4.373,21","4.361,54",,"0,17%",0.0017396603352351511,0.0016784336728693863,0.0011205229054143343,-0.0005627145497650182,-0.006450212937277929,0.0035862551748620636,0.0038011625951726697,0.00554660236153932
2005-04-08,4.37859,"4.379,37","4.383,09","4.372,93",,"0,14%",0.001398687929856982,0.0017396603352351511,0.0016784336728693863,0.0011205229054143343,-0.0069925234578398715,0.0037329601010262993,0.00333539333060891,0.005551621803874463
2005-04-11,4.37613,"4.374,89","4.377,46","4.372,42",,"-0,06%",-0.0005619825796242611,0.001398687929856982,0.0017396603352351511,0.0016784336728693863,-0.0005627145497650182,0.0037620880936176924,0.003309677414926507,0.00554178802480078
2005-04-12,4.38928,"4.373,32","4.389,28","4.373,32",,"0,30%",0.003000432350646962,-0.0005619825796242611,0.001398687929856982,0.0017396603352351511,0.0011205229054143343,0.004037883815670469,0.003264891457456054,0.005556036335407063
2005-04-13,4.39373,"4.389,90","4.399,48","4.386,33",,"0,10%",0.00101332012163892,0.003000432350646962,-0.0005619825796242611,0.001398687929856982,0.0016784336728693863,0.003465494666333175,0.0032008134856734436,0.005556175323889376
2005-04-14,4.40824,"4.389,39","4.408,64","4.389,00",,"0,33%",0.0032969921833022704,0.00101332012163892,0.003000432350646962,-0.0005619825796242611,0.0017396603352351511,0.002922144236686321,0.0033001406914675378,0.005539806831811359
